Date Range,SST (degree C)
2005-01-01,28.64901424590337
2005-02-01,28.824546113433083
2005-03-01,29.194306561430206
2005-04-01,29.322934360706846
2005-05-01,28.429753987583
2005-06-01,27.929758912915247
2005-07-01,27.97376384465222
2005-08-01,27.364205014961435
2005-09-01,26.859157684219515
2005-10-01,27.296742609291353
2005-11-01,27.36097469215626
2005-12-01,27.860281073928924
2006-01-01,28.59258868146981
2006-02-01,28.312041330387096
2006-03-01,28.50252465024609
2006-04-01,28.717339145012144
2006-05-01,28.216150663899672
2006-06-01,28.11427419977858
2006-07-01,27.247592777343637
2006-08-01,26.730283485814976
2006-09-01,27.459694630676466
2006-10-01,27.0862417060696
2006-11-01,27.540258461406378
2006-12-01,27.59257554413596
2007-01-01,28.376685182642444
2007-02-01,28.939302180697396
2007-03-01,28.69470192677331
2007-04-01,29.018734809288137
2007-05-01,28.35980839302436
2007-06-01,27.952491875062016
2007-07-01,27.35948801633118
2007-08-01,27.729658051568244
2007-09-01,27.035950832578617
2007-10-01,26.85666131752879
2007-11-01,27.786763473630955
2007-12-01,27.67374690500869
2008-01-01,28.622659078501425
2008-02-01,28.338124366620505
2008-03-01,28.66154418533047
2008-04-01,28.985083774545174
2008-05-01,28.781539973998623
2008-06-01,28.11141048435699
2008-07-01,27.525305515283527
2008-08-01,27.103643487538776
2008-09-01,26.61644340288977
2008-10-01,26.97802133369715
2008-11-01,27.421808368712064
2008-12-01,28.377136667865674
2009-01-01,28.683085486870535
2009-02-01,28.417113357175616
2009-03-01,29.177225190818437
2009-04-01,28.83050071965954
2009-05-01,28.37692339990821
2009-06-01,28.263502886652258
2009-07-01,27.889299856748785
2009-08-01,27.49335863195042
2009-09-01,26.828234743033207
2009-10-01,27.121210883460197
2009-11-01,27.679379029421067
2009-12-01,28.372663538136706
2010-01-01,28.456247728646414
2010-02-01,28.910327710785293
2010-03-01,28.768099507798194
2010-04-01,28.607163416560237
2010-05-01,28.84375774671826
2010-06-01,28.50687200857125
2010-07-01,27.5783969635259
2010-08-01,27.53503446558317
2010-09-01,27.20849080751429
2010-10-01,27.040438669834028
2010-11-01,27.708418681652525
2010-12-01,28.561410969939793
2011-01-01,28.609252188267014
2011-02-01,29.45541850052864
2011-03-01,28.334076468773077
2011-04-01,29.232596155097006
2011-05-01,28.646114120471452
2011-06-01,28.030297794860243
2011-07-01,27.647528232960653
2011-08-01,26.657703921835296
2011-09-01,27.054098433648747
2011-10-01,27.361108367669086
2011-11-01,28.063368213422457
2011-12-01,27.96451893451791
2012-01-01,28.397451919132045
2012-02-01,28.855498290709075
2012-03-01,29.414620635310623
2012-04-01,29.104650736682345
2012-05-01,28.48107193886989
2012-06-01,28.293980229934007
2012-07-01,27.669123264804412
2012-08-01,27.56456809337543
2012-09-01,26.929384071836793
2012-10-01,27.175675952236233
2012-11-01,27.522367554060352
2012-12-01,27.700945515560363
2013-01-01,28.74883608311937
2013-02-01,29.104341985438403
2013-03-01,29.161534036992737
2013-04-01,28.955649263771893
2013-05-01,28.235388777384877
2013-06-01,28.03380640317039
2013-07-01,27.55718564504197
2013-08-01,27.053291415449078
2013-09-01,27.1116142865002
2013-10-01,27.415189853259925
2013-11-01,28.22585577036316
2013-12-01,28.212373343849553
2014-01-01,28.75726511721683
2014-02-01,29.023691629054586
2014-03-01,28.60436863541029
2014-04-01,29.038071241149673
2014-05-01,28.69806906298231
2014-06-01,28.918972633745586
2014-07-01,27.622291710565662
2014-08-01,27.404438798915645
2014-09-01,27.169586469088426
2014-10-01,26.963371184929702
2014-11-01,28.022846844354508
2014-12-01,28.405579909806033
2015-01-01,28.937309584112914
2015-02-01,28.793209167346014
2015-03-01,29.62083829328083
2015-04-01,28.64547008494675
2015-05-01,28.87605712814008
2015-06-01,28.857136687742994
2015-07-01,27.402839102460792
2015-08-01,27.16408527733473
2015-09-01,27.229895409526293
2015-10-01,27.1829318999807
2015-11-01,27.23480097068016
2015-12-01,28.220568892441808
2016-01-01,28.401308885882166
2016-02-01,29.22810313297499
2016-03-01,28.944172729729857
2016-04-01,29.5510057252897
2016-05-01,28.485024012299128
2016-06-01,28.123381545138297
2016-07-01,27.9640551652109
2016-08-01,26.984715301285373
2016-09-01,27.288237980381236
2016-10-01,27.74611742250029
2016-11-01,27.237755029631632
2016-12-01,28.27539015755969
2017-01-01,28.817964838274527
2017-02-01,29.34057226531763
2017-03-01,28.868914786736575
2017-04-01,28.70988841985915
2017-05-01,28.896582469685068
2017-06-01,28.329095401969955
2017-07-01,27.81514785510376
2017-08-01,27.477909059064654
2017-09-01,27.03599258352645
2017-10-01,27.44365070536386
2017-11-01,27.827921741989602
2017-12-01,28.025694574592087
2018-01-01,29.31973235334343
2018-02-01,29.268175280057974
2018-03-01,28.902608950839205
2018-04-01,29.322991486374587
2018-05-01,28.467595498931804
2018-06-01,28.496125381122738
2018-07-01,28.10757867370222
2018-08-01,27.147769900710053
2018-09-01,27.549012838773297
2018-10-01,27.517808874296513
2018-11-01,28.006618047998348
2018-12-01,28.829037894796187
2019-01-01,28.70638356519914
2019-02-01,28.919904554477192
2019-03-01,29.013145671112344
2019-04-01,28.901282318294808
2019-05-01,28.75686948717577
2019-06-01,28.382345592444995
2019-07-01,27.863007239799007
2019-08-01,27.66212957092637
2019-09-01,27.283900567563375
2019-10-01,27.850034819362758
2019-11-01,27.700602950028614
2019-12-01,29.096050749976886
2020-01-01,28.987700204329503
2020-02-01,28.908878136859553
2020-03-01,28.97873225058167
2020-04-01,29.310767128357394
2020-05-01,28.732961164402244
2020-06-01,28.51420014822763
2020-07-01,27.941971287372063
2020-08-01,27.4121259224185
2020-09-01,27.04596188457948
2020-10-01,26.979520428809803
2020-11-01,27.666045514379896
2020-12-01,28.556919638297042
2021-01-01,28.884228123239062
2021-02-01,28.812303770170843
2021-03-01,29.371954277755354
2021-04-01,29.30162061770309
2021-05-01,28.55484276913966
2021-06-01,28.366117531783658
2021-07-01,27.8374626155338
2021-08-01,27.111083506866375
2021-09-01,27.427336208104485
2021-10-01,27.622209954126035
2021-11-01,28.144915372952582
2021-12-01,28.636140615610472
2022-01-01,28.426699189612872
2022-02-01,28.9246778918099
2022-03-01,29.494510580162597
2022-04-01,29.3601611890581
2022-05-01,28.994514305891816
2022-06-01,29.495819447196418
2022-07-01,28.01126715320795
2022-08-01,27.814644288269744
2022-09-01,27.62620052904796
2022-10-01,27.6693919716073
2022-11-01,27.745419226607897
2022-12-01,28.56769076614798
2023-01-01,28.62815243563873
2023-02-01,29.154979821762435
2023-03-01,29.21439093565127
2023-04-01,29.250587645600334
2023-05-01,29.554397570002052
2023-06-01,27.799820442222476
2023-07-01,28.065878057112354
2023-08-01,27.010159834858666
2023-09-01,27.21842044026317
2023-10-01,27.82065977530577
2023-11-01,27.87928400572864
2023-12-01,28.036676566621207
2024-01-01,28.665408887222007
2024-02-01,29.44990472846484
2024-03-01,29.16089001048486
2024-04-01,29.310962980659028
2024-05-01,28.893671551971142
2024-06-01,28.184519895718253
2024-07-01,28.523183226797595
2024-08-01,27.704150302910964
2024-09-01,26.772457224002718
2024-10-01,27.56991089064639
2024-11-01,27.681464060569482
2024-12-01,28.635730000438866
2025-01-01,28.662243778470188
2025-02-01,29.231604471344365
2025-03-01,29.551496183694137
2025-04-01,29.52575196203547
2025-05-01,28.539911077883264
2025-06-01,28.299649629247714
2025-07-01,27.75751640665171
2025-08-01,27.337975826443447
2025-09-01,27.929636272084327
2025-10-01,27.655469109503848
2025-11-01,27.521734813699485
2025-12-01,28.67535858411643
